area,canton,lat,lon,year,province,region
5008,Alajuela,10.1670551,-84.4296032,2001,Alajuela,Valle Central
4838,Alajuela,10.1670551,-84.4296032,2004,Alajuela,Valle Central
4302,Alajuela,10.1670551,-84.4296032,2012,Alajuela,Valle Central
3920,Alajuela,10.1670551,-84.4296032,2014,Alajuela,Valle Central
3765,Alajuela,10.1670551,-84.4296032,2017,Alajuela,Valle Central
2568,Poás,10.1065476,-84.3303717,2001,Alajuela,Valle Central
2288,Poás,10.1065476,-84.3303717,2004,Alajuela,Valle Central
2145,Poás,10.1065476,-84.3303717,2012,Alajuela,Valle Central
1958,Poás,10.1065476,-84.3303717,2014,Alajuela,Valle Central
1914,Poás,10.1065476,-84.3303717,2017,Alajuela,Valle Central
748,La Unión,9.9158837,-84.0522432,2001,Cartago,Valle Central
636,La Unión,9.9158837,-84.0522432,2004,Cartago,Valle Central
638,La Unión,9.9158837,-84.0522432,2012,Cartago,Valle Central
601,La Unión,9.9158837,-84.0522432,2014,Cartago,Valle Central
567,La Unión,9.9158837,-84.0522432,2017,Cartago,Valle Central
1058,Barva,10.0202225,-84.1287196,2001,Heredia,Valle Central
1358,Barva,10.0202225,-84.1287196,2004,Heredia,Valle Central
844,Barva,10.0202225,-84.1287196,2012,Heredia,Valle Central
1043,Barva,10.0202225,-84.1287196,2014,Heredia,Valle Central
779,Barva,10.0202225,-84.1287196,2017,Heredia,Valle Central
104,Belén,10.2085897,-84.2079254,2001,Heredia,Valle Central
35,Belén,10.2085897,-84.2079254,2004,Heredia,Valle Central
59,Belén,10.2085897,-84.2079254,2012,Heredia,Valle Central
21,Belén,10.2085897,-84.2079254,2014,Heredia,Valle Central
32,Belén,10.2085897,-84.2079254,2017,Heredia,Valle Central
214,Flores,10.0058531,-84.1644144,2001,Heredia,Valle Central
115,Flores,10.0058531,-84.1644144,2004,Heredia,Valle Central
99,Flores,10.0058531,-84.1644144,2012,Heredia,Valle Central
57,Flores,10.0058531,-84.1644144,2014,Heredia,Valle Central
80,Flores,10.0058531,-84.1644144,2017,Heredia,Valle Central
570,Heredia,9.9878592,-84.1576984,2001,Heredia,Valle Central
544,Heredia,9.9878592,-84.1576984,2004,Heredia,Valle Central
365,Heredia,9.9878592,-84.1576984,2012,Heredia,Valle Central
244,Heredia,9.9878592,-84.1576984,2014,Heredia,Valle Central
236,Heredia,9.9878592,-84.1576984,2017,Heredia,Valle Central
541,San Isidro,10.018599,-84.0605378,2001,Heredia,Valle Central
445,San Isidro,10.018599,-84.0605378,2004,Heredia,Valle Central
452,San Isidro,10.018599,-84.0605378,2012,Heredia,Valle Central
749,San Isidro,10.018599,-84.0605378,2014,Heredia,Valle Central
439,San Isidro,10.018599,-84.0605378,2017,Heredia,Valle Central
366,San Pablo,9.9963663,-84.1021433,2001,Heredia,Valle Central
304,San Pablo,9.9963663,-84.1021433,2004,Heredia,Valle Central
266,San Pablo,9.9963663,-84.1021433,2012,Heredia,Valle Central
239,San Pablo,9.9963663,-84.1021433,2014,Heredia,Valle Central
244,San Pablo,9.9963663,-84.1021433,2017,Heredia,Valle Central
932,San Rafael,10.0128479,-84.1033781,2001,Heredia,Valle Central
792,San Rafael,10.0128479,-84.1033781,2004,Heredia,Valle Central
685,San Rafael,10.0128479,-84.1033781,2012,Heredia,Valle Central
639,San Rafael,10.0128479,-84.1033781,2014,Heredia,Valle Central
598,San Rafael,10.0128479,-84.1033781,2017,Heredia,Valle Central
1622,Santo Domingo,9.9795189,-84.0960261,2001,Heredia,Valle Central
1424,Santo Domingo,9.9795189,-84.0960261,2004,Heredia,Valle Central
1345,Santo Domingo,9.9795189,-84.0960261,2012,Heredia,Valle Central
836,Santo Domingo,9.9795189,-84.0960261,2014,Heredia,Valle Central
1129,Santo Domingo,9.9795189,-84.0960261,2017,Heredia,Valle Central
1059,Santa Bárbara,10.0382382,-84.1651881,2001,Heredia,Valle Central
929,Santa Bárbara,10.0382382,-84.1651881,2004,Heredia,Valle Central
852,Santa Bárbara,10.0382382,-84.1651881,2012,Heredia,Valle Central
838,Santa Bárbara,10.0382382,-84.1651881,2014,Heredia,Valle Central
731,Santa Bárbara,10.0382382,-84.1651881,2017,Heredia,Valle Central
263,Alajuelita,9.8895263,-84.1556391,2001,San José,Valle Central
308,Alajuelita,9.8895263,-84.1556391,2004,San José,Valle Central
151,Alajuelita,9.8895263,-84.1556391,2012,San José,Valle Central
197,Alajuelita,9.8895263,-84.1556391,2014,San José,Valle Central
102,Alajuelita,9.8895263,-84.1556391,2017,San José,Valle Central
251,Curridabat,9.913915,-84.0496863,2001,San José,Valle Central
243,Curridabat,9.913915,-84.0496863,2004,San José,Valle Central
165,Curridabat,9.913915,-84.0496863,2012,San José,Valle Central
186,Curridabat,9.913915,-84.0496863,2014,San José,Valle Central
166,Curridabat,9.913915,-84.0496863,2017,San José,Valle Central
63,Escazú,9.9188719,-84.1558153,2001,San José,Valle Central
49,Escazú,9.9188719,-84.1558153,2004,San José,Valle Central
29,Escazú,9.9188719,-84.1558153,2012,San José,Valle Central
8,Escazú,9.9188719,-84.1558153,2014,San José,Valle Central
13,Escazú,9.9188719,-84.1558153,2017,San José,Valle Central
64,Goicoechea,9.9615827,-84.0064224,2001,San José,Valle Central
55,Goicoechea,9.9615827,-84.0064224,2004,San José,Valle Central
65,Goicoechea,9.9615827,-84.0064224,2012,San José,Valle Central
