parent,year,pib_cri
,origin,,
origin,1960,507513830.0
origin,1961,490325181.6
origin,1962,479180824.3
origin,1963,511902136.8
origin,1964,542578367.2
origin,1965,592981162.3
origin,1966,647305630.2
origin,1967,699456618.9
origin,1968,773841494.3
origin,1969,853630203.8
origin,1970,984830158.5
origin,1971,1077152902.0
origin,1972,1238251696.0
origin,1973,1528916185.0
origin,1974,1666544754.0
origin,1975,1960863466.0
origin,1976,2412555426.0
origin,1977,3072427013.0
origin,1978,3523208810.0
origin,1979,4035519323.0
origin,1980,4831447001.0
origin,1981,2623807074.0
origin,1982,2606621255.0
origin,1983,3146770104.0
origin,1984,3660476459.0
origin,1985,3919203960.0
origin,1986,4418983871.0
origin,1987,4532952047.0
origin,1988,4614629898.0
origin,1989,5251025767.0
origin,1990,5711687787.0
origin,1991,7196276092.0
origin,1992,8564044017.0
origin,1993,9582866263.0
origin,1994,10486784805.0
origin,1995,11578594260.0
origin,1996,11678424507.0
origin,1997,12614602382.0
origin,1998,13684255947.0
origin,1999,14254866281.0
origin,2000,15013629659.0
origin,2001,15976174337.0
origin,2002,16578820687.0
origin,2003,17271760507.0
origin,2004,18610594846.0
origin,2005,20040642477.0
origin,2006,22715540324.0
origin,2007,26884700345.0
origin,2008,30801744881.0
origin,2009,30745712007.0
origin,2010,37658614803.0
origin,2011,42762617082.0
origin,2012,47231651863.0
origin,2013,50949672206.0
origin,2014,52016408951.0
origin,2015,56441917653.0
origin,2016,58847016045.0
origin,2017,60516043590.0
origin,2018,62420165100.0
origin,2019,64417670083.0
origin,2020,62158002233.0
origin,2021,64282438667.0
