area,year,province
42071,2001,San José
33613,2001,Alajuela
14214,2001,Cartago
6483,2001,Heredia
2259,2001,Guanacaste
13153,2001,Puntarenas
250,2001,Limón
0,2003,San José
0,2003,Alajuela
10873,2003,Cartago
0,2003,Heredia
0,2003,Guanacaste
11648,2003,Puntarenas
97,2003,Limón
3519,2004,San José
28962,2004,Alajuela
636,2004,Cartago
5949,2004,Heredia
1483,2004,Guanacaste
181,2004,Puntarenas
0,2004,Limón
31932,2006,San José
0,2006,Alajuela
2830,2006,Cartago
0,2006,Heredia
0,2006,Guanacaste
2,2006,Puntarenas
0,2006,Limón
36744,2012,San José
30113,2012,Alajuela
9194,2012,Cartago
4969,2012,Heredia
0,2012,Guanacaste
9907,2012,Puntarenas
110,2012,Limón
30868,2014,San José
25102,2014,Alajuela
10121,2014,Cartago
4672,2014,Heredia
1622,2014,Guanacaste
10659,2014,Puntarenas
112,2014,Limón
40965,2017,San José
27686,2017,Alajuela
7853,2017,Cartago
4268,2017,Heredia
1691,2017,Guanacaste
10506,2017,Puntarenas
15,2017,Limón
